time_seconds,amplitude_raw
0.0016125,19
0.00161375,-132
0.001615,-478
0.00161625,-855
0.0016175,-1024
0.00161875,-843
0.00162,-285
0.00162125,463
0.0016225,1118
0.00162375,1448
0.001625,1446
0.00162625,1265
0.0016275,1130
0.00162875,1266
0.00163,1697
0.00163125,2253
0.0016325,2777
0.00163375,3131
0.001635,3295
0.00163625,3352
0.0016375,3355
0.00163875,3412
0.00164,3514
0.00164125,3646
0.0016425,3775
0.00164375,3882
0.001645,3977
0.00164625,4056
0.0016475,4119
0.00164875,4190
0.00165,4258
0.00165125,4310
0.0016525,4366
0.00165375,4435
0.001655,4512
0.00165625,4609
0.0016575,4713
0.00165875,4816
0.00166,4883
0.00166125,4925
0.0016625,4929
0.00166375,4889
0.001665,4821
0.00166625,4724
0.0016675,4647
0.00166875,4633
0.00167,4650
0.00167125,4674
0.0016725,4678
0.00167375,4658
0.001675,4554
0.00167625,4425
0.0016775,4277
0.00167875,4149
0.00168,4064
0.00168125,4037
0.0016825,4024
0.00168375,3966
0.001685,3878
0.00168625,3734
0.0016875,3562
0.00168875,3413
0.00169,3306
0.00169125,3245
0.0016925,3162
0.00169375,2966
0.001695,2630
0.00169625,2246
0.0016975,1919
0.00169875,1755
0.0017,1765
0.00170125,1818
0.0017025,1699
0.00170375,1316
0.001705,718
0.00170625,164
0.0017075,-132
0.00170875,-58
0.00171,286
0.00171125,599
0.0017125,619
0.00171375,277
0.001715,-223
0.00171625,-600
0.0017175,-594
0.00171875,-222
0.00172,326
0.00172125,837
0.0017225,1021
0.00172375,921
0.001725,747
0.00172625,692
0.0017275,869
0.00172875,1271
0.00173,1711
0.00173125,2055
0.0017325,2221
0.00173375,2247
0.001735,2191
0.00173625,2177
0.0017375,2211
0.00173875,2319
0.00174,2507
0.00174125,2712
0.0017425,2935
0.00174375,3170
0.001745,3383
0.00174625,3543
0.0017475,3702
0.00174875,3862
0.00175,4079
0.00175125,4316
0.0017525,4545
0.00175375,4691
0.001755,4744
0.00175625,4738
0.0017575,4744
0.00175875,4765
0.00176,4837
0.00176125,4898
0.0017625,4929
0.00176375,4896
0.001765,4800
0.00176625,4710
0.0017675,4651
0.00176875,4640
0.00177,4685
0.00177125,4719
0.0017725,4716
0.00177375,4634
0.001775,4498
0.00177625,4360
0.0017775,4196
0.00177875,4063
0.00178,3942
0.00178125,3830
0.0017825,3714
0.00178375,3608
0.001785,3488
0.00178625,3381
0.0017875,3301
0.00178875,3214
0.00179,3131
0.00179125,3020
0.0017925,2848
0.00179375,2593
0.001795,2247
0.00179625,1811
0.0017975,1300
0.00179875,851
0.0018,533
0.00180125,374
0.0018025,313
0.00180375,221
0.001805,20
0.00180625,-314
0.0018075,-714
0.00180875,-1062
0.00181,-1306
0.00181125,-1429
0.0018125,-1402
0.00181375,-1268
0.001815,-1056
0.00181625,-836
0.0018175,-708
0.00181875,-716
0.00182,-835
0.00182125,-973
0.0018225,-1022
0.00182375,-923
0.001825,-695
0.00182625,-465
0.0018275,-265
0.00182875,-152
0.00183,-132
0.00183125,-153
0.0018325,-130
0.00183375,-71
0.001835,72
0.00183625,300
0.0018375,534
0.00183875,720
0.00184,853
0.00184125,912
0.0018425,903
0.00184375,876
0.001845,851
0.00184625,932
0.0018475,1151
0.00184875,1531
0.00185,2042
0.00185125,2578
0.0018525,3098
0.00185375,3540
0.001855,3920
0.00185625,4232
0.0018575,4498
0.00185875,4822
0.00186,5180
0.00186125,5624
0.0018625,6125
0.00186375,6557
0.001865,6863
0.00186625,7038
0.0018675,7071
0.00186875,6973
0.00187,6796
0.00187125,6553
0.0018725,6268
0.00187375,6055
0.001875,6004
0.00187625,6101
0.0018775,6334
0.00187875,6579
0.00188,6711
0.00188125,6708
0.0018825,6558
0.00188375,6389
0.001885,6342
0.00188625,6545
0.0018875,6998
0.00188875,7704
0.00189,8571
0.00189125,9397
0.0018925,10047
0.00189375,10347
0.001895,10239
0.00189625,9786
0.0018975,9205
0.00189875,8845
0.0019,8913
0.00190125,9437
0.0019025,10198
0.00190375,10844
0.001905,11054
0.00190625,10858
0.0019075,10444
0.00190875,10205
0.00191,10374
0.00191125,10966
0.0019125,11744
0.00191375,12407
0.001915,12726
0.00191625,12726
0.0019175,12505
0.00191875,12268
0.00192,12101
0.00192125,12015
0.0019225,12003
0.00192375,11888
0.001925,11754
0.00192625,11558
0.0019275,11359
0.00192875,11136
0.00193,10895
0.00193125,10599
0.0019325,10229
0.00193375,9796
0.001935,9315
0.00193625,8857
0.0019375,8469
0.00193875,8133
0.00194,7794
0.00194125,7428
0.0019425,6872
0.00194375,6210
0.001945,5478
0.00194625,4819
0.0019475,4353
0.00194875,4070
0.00195,3918
0.00195125,3722
0.0019525,3364
0.00195375,2744
0.001955,1888
0.00195625,883
0.0019575,-151
0.00195875,-1026
0.00196,-1650
0.00196125,-2031
0.0019625,-2234
0.00196375,-2449
0.001965,-2783
0.00196625,-3312
0.0019675,-3955
0.00196875,-4568
0.00197,-4985
0.00197125,-5178
0.0019725,-5192
0.00197375,-5109
0.001975,-5067
0.00197625,-5121
0.0019775,-5231
0.00197875,-5322
0.00198,-5232
0.00198125,-4959
0.0019825,-4548
0.00198375,-4060
0.001985,-3615
0.00198625,-3307
0.0019875,-3140
0.00198875,-3031
0.00199,-2891
0.00199125,-2631
0.0019925,-2178
0.00199375,-1594
0.001995,-1102
0.00199625,-827
0.0019975,-922
